,Model,MAE,MSE,R2
0,XGBoost,5.689932346343994,60.919151306152344,0.9620921611785889
1,CatBoost,5.761258034437321,62.537450366707056,0.9610851510849014
2,LightGBM,5.917343214818053,66.37910594841311,0.9586946243578073
3,RandomForest,5.985647545934762,69.33381599384751,0.9568560125446973
4,DecisionTree,6.7299203896014355,91.15187717480082,0.9432794028572455
